Period,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances,Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency Admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
01/08/2010,"1,138,652","54,371","559,358","1,752,381","287,438","5,367","8,081","300,886","124,816","425,702","3,697",1
01/09/2010,"1,150,728","55,181","550,359","1,756,268","293,991","5,543","3,673","303,207","121,693","424,900","5,907",0
01/10/2010,"1,163,143","54,961","583,244","1,801,348","303,452","5,485","2,560","311,497","124,718","436,215","6,932",0
01/11/2010,"1,111,295","53,727","486,005","1,651,027","297,832","5,731","3,279","306,842","122,257","429,099","7,179",2
01/12/2010,"1,159,204","45,536","533,001","1,737,741","318,602","6,277","3,198","328,078","124,651","452,729","13,818",15
01/01/2011,"1,133,881","51,585","542,331","1,727,797","308,368","5,567","3,626","317,561","124,442","442,004","13,162",17
01/02/2011,"1,053,707","51,249","494,408","1,599,364","276,646","1,678","2,801","281,125","120,081","401,206","7,872",3
01/03/2011,"1,225,222","57,900","580,319","1,863,441","308,390","2,264","3,822","314,476","132,370","446,846","8,602",1
01/04/2011,"1,197,213","54,042","593,120","1,844,375","295,580","2,939","3,067","301,586","117,657","419,243","7,531",6
01/05/2011,"1,221,687","57,067","594,941","1,873,695","299,961","2,982","2,786","305,729","121,548","427,277","7,309",3
01/06/2011,"1,168,468","54,739","562,210","1,785,417","290,244","2,839","2,596","295,678","117,643","413,321","7,060",10
01/07/2011,"1,211,066","56,204","597,690","1,864,959","299,077","3,494","2,593","305,165","120,633","425,798","5,645",6
01/08/2011,"1,135,801","51,890","570,417","1,758,108","289,884","2,844","3,225","295,953","114,602","410,554","4,990",1
01/09/2011,"1,162,143","52,329","566,738","1,781,211","291,050","3,171","3,074","297,295","113,466","410,761","7,460",9
01/10/2011,"1,200,708","54,447","593,757","1,848,912","305,952","2,177","4,082","312,211","122,869","435,080","9,078",42
01/11/2011,"1,134,959","51,772","554,709","1,741,441","296,726","2,987","4,475","304,188","120,699","424,887","8,941",28
01/12/2011,"1,141,606","47,961","542,479","1,732,046","313,714","3,073","4,231","321,017","120,638","441,655","10,946",4
01/01/2012,"1,137,916","51,607","547,995","1,737,518","307,651","3,174","4,423","315,248","120,951","436,199","14,147",8
01/02/2012,"1,120,423","51,156","532,653","1,704,232","296,577","3,060","4,261","303,898","116,655","420,553","15,698",6
01/03/2012,"1,263,082","58,574","611,496","1,933,153","319,223","3,366","3,476","326,065","128,331","454,396","10,199",1
01/04/2012,"1,149,634","51,689","568,200","1,769,523","302,599","2,687","2,420","307,705","116,424","424,129","10,132",0
01/05/2012,"1,251,414","56,417","621,739","1,929,570","316,001","2,748","2,383","321,133","122,745","443,877","8,681",0
01/06/2012,"1,222,084","53,957","611,800","1,887,841","306,005","2,613","2,388","311,006","115,000","426,006","8,409",2
01/07/2012,"1,248,953","55,392","620,178","1,924,523","316,143","2,751","2,384","321,279","123,676","444,955","7,265",1
01/08/2012,"1,197,384","52,905","594,854","1,845,142","305,791","2,516","2,373","310,680","114,492","425,173","7,128",2
01/09/2012,"1,178,361","51,526","558,604","1,788,491","303,417","2,546","2,279","308,242","113,536","421,778","9,022",2
01/10/2012,"1,214,433","53,423","564,448","1,832,304","317,919","2,652","2,439","323,011","123,292","446,303","11,089",0
01/11/2012,"1,167,908","51,805","535,892","1,755,605","309,441","2,798","2,251","314,490","120,819","435,310","11,561",1
01/12/2012,"1,202,080","47,553","572,792","1,822,426","326,829","1,288","2,424","330,541","120,640","451,181","16,505",14
01/01/2013,"1,149,837","49,518","533,763","1,733,118","316,171","1,067","2,311","319,548","117,662","437,210","19,709",50
