Date,City,State,Position,Shape,Duration,Summary,DayOfYear,DayOfWeek,WeekNum
42005,"Entity[""City"", {""LaPuente"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{34.0323333, -117.9535204}]",formation,"Quantity[10, ""Minutes""]",3 orbs of light flying in slow formation.,1,5,1
42005,"Entity[""City"", {""SanAntonio"", ""Texas"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Texas"", ""UnitedStates""}]","GeoPosition[{29.4724026, -98.5251419}]",sphere,"Missing[""NoInput""]",Captured on video a UFO hovering over us as we watched the fireworks on New Years Eve.,1,5,1
42005,"Entity[""City"", {""VirginiaBeach"", ""Virginia"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Virginia"", ""UnitedStates""}]","GeoPosition[{36.7793219, -76.0240202}]",disk,"Quantity[20, ""Minutes""]",Orange glowing domed shaped disks with red lights around the bottom of each.,1,5,1
42005.00069,"Entity[""City"", {""RioDell"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{40.4955909, -124.1149295}]",fireball,"Quantity[5, ""Minutes""]",Orange ball of light/fire seen on North Coast; not Identified.,1,5,1
42005.00069,"Entity[""City"", {""RockawayBeach"", ""Oregon"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Oregon"", ""UnitedStates""}]","GeoPosition[{45.6168723, -123.9390674}]",fireball,"Quantity[4, ""Minutes""]","Five small, orange floating objects seen overhead at the beach. Erratic flight patterns.",1,5,1
42005.00139,"Entity[""City"", {""SaintPeters"", ""Missouri"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Missouri"", ""UnitedStates""}]","GeoPosition[{38.7835202, -90.6050746}]",fireball,"Quantity[10, ""Seconds""]","Glowing sphere over Saint Peters, MO.",1,5,1
42005.00278,"Entity[""City"", {""Oakville"", ""Missouri"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Missouri"", ""UnitedStates""}]","GeoPosition[{38.4497556, -90.318436}]",sphere,"Quantity[6, ""Minutes""]","15-25 orange lights or orbs traveling from West to East slowly, no sound, strung out over 6 minutes.",1,5,1
42005.00347,"Entity[""City"", {""EggHarborTownship"", ""NewJersey"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewJersey"", ""UnitedStates""}]","GeoPosition[{39.391111, -74.593889}]",formation,"Quantity[5, ""Minutes""]",2 sets of red/orange glowing objects seen just after midnight in south Jersey.,1,5,1
42005.00694,"Entity[""City"", {""Odin"", ""Illinois"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Illinois"", ""UnitedStates""}]","GeoPosition[{38.6158706, -89.0540892}]",circle,"Quantity[5, ""Minutes""]",They flew over at about 3 times the speed of a jet they were round in shape red in color with what looked like white cone shaped points,1,5,1
42005.00694,"Entity[""City"", {""Seattle"", ""Washington"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Washington"", ""UnitedStates""}]","GeoPosition[{47.6204993, -122.3508761}]",fireball,"Quantity[25, ""Minutes""]",1-2 orange fireball objects in the sky.,1,5,1
42005.00694,"Entity[""City"", {""Whittier"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{33.9668274, -118.0201222}]",fireball,"Quantity[2, ""Minutes""]",Orange fireball brings in the new year in Southern California,1,5,1
42005.00833,"Entity[""City"", {""Mandeville"", ""Louisiana"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Louisiana"", ""UnitedStates""}]","GeoPosition[{30.374855, -90.091889}]",sphere,"Quantity[20, ""Seconds""]","Spherical shape object flying silently at approximately 400 knots over Mandeville, LA, at an approximate altitude of 15,000 ft agl.",1,5,1
42005.01042,"Entity[""City"", {""ElPaso"", ""Texas"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Texas"", ""UnitedStates""}]","GeoPosition[{31.8483598, -106.426979}]",light,"Quantity[6, ""Minutes""]",One bright object with three flashing lights. Then it split into two. It happened right after midnight on new year's eve. I obtained,1,5,1
42005.01389,"Entity[""City"", {""Chilliwack"", ""BritishColumbia"", ""Canada""}]","Entity[""AdministrativeDivision"", {""BritishColumbia"", ""Canada""}]","GeoPosition[{49.17, -121.96000000000001}]",circle,"Quantity[30, ""Seconds""]",New Years at 12:20 am my fiancé and I were in Bed listening to the New Years celebration going on around us as we live off Ryder lake,1,5,1
42005.01667,"Entity[""City"", {""Carmel"", ""NewYork"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","GeoPosition[{41.3870976, -73.7227383}]",light,"Quantity[10, ""Minutes""]",Bright red lights flying west-east over Lake Carmel.,1,5,1
42005.02083,"Entity[""City"", {""BoiseCity"", ""Idaho"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Idaho"", ""UnitedStates""}]","GeoPosition[{43.5984881, -116.2310843}]",circle,"Quantity[20, ""Minutes""]",Patterned red lights over Boise on New Year's Day 2015,1,5,1
42005.02083,"Entity[""City"", {""PuntaGorda"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{26.915907, -82.04782}]",fireball,"Quantity[15, ""Seconds""]",Observing New Year's Eve festivities from lanai over Charlotte harbor when reddish orange fire like orb was spotted moving east to west,1,5,1
42005.02083,"Entity[""City"", {""Rutland"", ""Vermont"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Vermont"", ""UnitedStates""}]","GeoPosition[{43.6096702, -72.9777884}]",formation,"Quantity[10, ""Minutes""]",7 fiery ufos.,1,5,1
42005.04167,"Entity[""City"", {""Jupiter"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{26.9214804, -80.1101013}]",fireball,"Quantity[15, ""Minutes""]",Five fireballs traveling in the same direction at the same speed and somewhat equidistant from each other.,1,5,1
42005.07292,"Entity[""City"", {""Longwood"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{28.7017253, -81.3482911}]",fireball,"Quantity[10, ""Minutes""]",Yellow fireball.,1,5,1
42005.17708,"Entity[""City"", {""Hollywood"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{26.0311054, -80.1645743}]",light,"Quantity[20, ""Minutes""]","A bright red light, 2015 a year I wont forget.",1,5,1
42005.23611,"Entity[""City"", {""Newington"", ""Connecticut"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Connecticut"", ""UnitedStates""}]","GeoPosition[{41.6869935, -72.7308384}]",sphere,"Quantity[15, ""Seconds""]",Glowing green sphere drops rapidly to earth and disappears,1,5,1
42005.23958,"Entity[""City"", {""KailuaHawaii"", ""Hawaii"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Hawaii"", ""UnitedStates""}]","GeoPosition[{19.649973, -155.994028}]",disk,"Quantity[2, ""Minutes""]",UFO spotted by four on New Years Day at Makalawena Beach on the Big Island of Hawaii,1,5,1
42005.50486,"Entity[""City"", {""HavreDeGrace"", ""Maryland"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Maryland"", ""UnitedStates""}]","GeoPosition[{39.5508344, -76.1051208}]","Missing[""NotAvailable""]","Quantity[2, ""Minutes""]","Strange green blinking light that hoverd over our yard for 2 minutes, then disappeared.",1,5,1
