IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),FinalDescription,AnimalGroupParent,PropertyType,SpecialServiceTypeCategory,SpecialServiceType,Borough,StnGroundName,AnimalClass,Code,London
139091,01/01/2009 03:01,2009,2008/09,Special Service,1,2,255,510,"DOG WITH JAW TRAPPED IN MAGAZINE RACK,B15",Dog,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Croydon,Norbury,Mammal,00AH,Outer London
275091,01/01/2009 08:51,2009,2008/09,Special Service,1,1,255,255,"ASSIST RSPCA WITH FOX TRAPPED,B15",Fox,Railings,Other animal assistance,Animal assistance involving livestock - Other action,Croydon,Woodside,Mammal,00AH,Outer London
2075091,04/01/2009 10:07,2009,2008/09,Special Service,1,1,255,255,"DOG CAUGHT IN DRAIN,B15",Dog,Pipe or drain ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Sutton,Wallington,Mammal,00BF,Outer London
2872091,05/01/2009 12:27,2009,2008/09,Special Service,1,1,255,255,"HORSE TRAPPED IN LAKE,J17",Horse,"Intensive Farming Sheds (chickens, pigs etc) ",Animal rescue from water,Animal rescue from water - Farm animal,Hillingdon,Ruislip,Mammal,00AS,Outer London
3553091,06/01/2009 15:23,2009,2008/09,Special Service,1,1,255,255,"RABBIT TRAPPED UNDER SOFA,B15",Rabbit,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Havering,Harold Hill,Mammal,00AR,Outer London
3742091,06/01/2009 19:30,2009,2008/09,Special Service,1,1,255,255,"ANIMAL TRAPPED BEHIND FIREPLACE,B15",Unknown - Heavy Livestock Animal,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Barking And Dagenham,Dagenham,Mammal,00AB,Outer London
4011091,07/01/2009 06:29,2009,2008/09,Special Service,1,1,255,255,"DOG WITH HEAD TRAPPED IN RAILINGS,B15",Dog,Park ,Other animal assistance,Animal assistance involving livestock - Other action,Waltham Forest,Leytonstone,Mammal,00BH,Outer London
4211091,07/01/2009 11:55,2009,2008/09,Special Service,1,1,255,255,"LABRADOR FALLEN THROUGH THE ICE,J15",Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Redbridge,Leytonstone,Mammal,00BC,Outer London
4306091,07/01/2009 13:48,2009,2008/09,Special Service,1,1,255,255,"SQUIRREL TRAPPED ON WINDOWSILL,B15",Squirrel,House - single occupancy ,Animal rescue from height,Wild animal rescue from height,Croydon,Addington,Mammal,00AH,Outer London
4715091,07/01/2009 21:24,2009,2008/09,Special Service,1,1,255,255,"DOG STUCK IN MUD, J15",Dog,River/canal ,Animal rescue from water,Animal rescue from water - Domestic pet,Hackney,Stoke Newington,Mammal,00AM,Inner London
5186091,08/01/2009 14:34,2009,2008/09,Special Service,1,1,255,255,"TO ASSIST RSPCA WITH CAT TRAPPED UP TREE,B15",Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Bromley,Orpington,Mammal,00AF,Outer London
5363091,08/01/2009 19:23,2009,2008/09,Special Service,1,2,255,510,"ASSIST WILDLIFE HOSPITAL WITH INJURED SWAN TRAPPED ON ICE,J15",Bird,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Bird,Wandsworth,Clapham,Bird,00BJ,Inner London
5682091,09/01/2009 11:01,2009,2008/09,Special Service,1,1,255,255,"DOG TRAPPED IN BOOT OF CAR,B15",Dog,Car ,Other animal assistance,Animal assistance involving livestock - Other action,Southwark,Peckham,Mammal,00BE,Inner London
