name,release_year,score
Iron Man,2008,93
The Incredible Hulk,2008,67
Iron Man 2,2010,73
Captain America: The First Avenger,2011,79
Avengers,2012,92
Iron Man 3,2013,80
Thor: Dark World,2013,66
Captain America: Winter Soldier,2014,89
Avengers: Age of Ultron,2015,75
Ant Man,2015,82
Captain America: Civil War,2016,91
Doctor Strange,2016,89
Spider Man: Homecoming,2017,92
Thor: Ragnarok,2017,92
Black Panther,2018,97
Avengers: Infinity War,2018,84
Ant Man and the Wasp,2018,88
Captain Marvel,2019,78
Avengers: Endgame,2019,94
Spider-Man: Far from Home,2019,90
