URN,School name,Ofsted region,Local authority,Type of education,Phase of education,Total number of pupils,Deprivation index,Inspection start date,Inspection end date,Inspection type,Overall effectiveness,Category of concern,Outcomes for pupils,"Quality of teaching, learning and assessment",Effectiveness of leadership and management,"Personal development, behaviour and welfare",Early years provision,16 - 19 study programmes
100000,Sir John Cass's Foundation Primary School,London,City of London,Voluntary Aided School,Primary,250,4,18/04/2013,19/04/2013,S5 Inspection,1,,1,1,1,9,9,9
100005,Thomas Coram Centre,London,Camden,LA Nursery School,Nursery,114,NULL,05/06/2014,06/06/2014,S5 Inspection,1,,1,1,1,9,9,9
100006,CCfL Key Stage 4 PRU,London,Camden,Pupil Referral Unit,PRU,27,NULL,24/04/2014,25/04/2014,S5 Inspection,2,,2,2,2,9,9,9
100007,Camden Primary Pupil Referral Unit,London,Camden,Pupil Referral Unit,PRU,20,NULL,26/03/2015,27/03/2015,S5 Inspection,2,,2,2,2,9,9,9
100008,Argyle Primary School,London,Camden,Community School,Primary,417,5,28/01/2015,29/01/2015,S5 Inspection,2,,2,2,2,9,2,9
100009,Beckford Primary School,London,Camden,Community School,Primary,456,4,10/07/2012,11/07/2012,S5 Inspection,2,,2,2,2,9,8,9
100010,Brecknock Primary School,London,Camden,Community School,Primary,406,5,19/11/2013,20/11/2013,S5 Inspection,2,,2,2,2,9,9,9
100011,Brookfield Primary School,London,Camden,Community School,Primary,455,4,05/06/2014,06/06/2014,S5 Inspection,2,,2,2,2,9,9,9
100012,Carlton Primary School,London,Camden,Community School,Primary,371,5,15/01/2015,16/01/2015,S5 Inspection,2,,2,2,2,9,2,9
100013,Edith Neville Primary School,London,Camden,Community School,Primary,221,5,23/01/2014,24/01/2014,S8 No Formal Designation Visit,2,,2,2,2,9,9,9
100014,Fleet Primary School,London,Camden,Community School,Primary,225,4,02/02/2012,03/02/2012,S5 Inspection,2,,2,2,2,9,8,9
100015,Hawley Primary School,London,Camden,Community School,Primary,111,5,14/05/2014,15/05/2014,S5 Inspection,2,,2,2,2,9,9,9
